Process,Dim 0,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5,Dim 6,Dim 7,Dim 8,Dim 9,Dim 10
Context,0.8981817960739136,0.9954157695174217,0.9997864314354956,0.9999930163758108,0.9999993454712239,0.9999999389326604,0.9999999909888722,0.9999999948526033,0.9999999951807496,0.9999999952105689,0.9999999952166012
Stim,0.361159086227417,0.697034627199173,0.7603462710976601,0.8112483359873295,0.8552403226494789,0.8981717266142368,0.9372042305767536,0.9640698526054621,0.9735904792323709,0.9810528187081218,0.9859503381885588
Memory,0.4744448959827423,0.9121394157409668,0.9534278698265553,0.9808187521994114,0.9863762091845274,0.9915155610069633,0.995110739255324,0.9971201464068145,0.9981937564443797,0.9989499039947987,0.9996196125866845
Response,0.3436213433742523,0.6709458231925964,0.7960799038410187,0.8798856660723686,0.9115213118493557,0.9325797967612743,0.9513575714081526,0.968444200232625,0.9825205337256193,0.9888219847343862,0.9917639000341296
