Process,Dim 0,Dim 1,Dim 2,Dim 3,Dim 4,Dim 5,Dim 6,Dim 7,Dim 8,Dim 9,Dim 10
Pro Context,0.8255040645599365,0.9810114502906799,0.9988653771579266,0.9999513586517423,0.9999988217095961,0.9999999390405492,1.000000015936294,1.0000000273002794,1.0000000283615562,1.0000000285404822,1.0000000285517365
Anti Context,0.8147950172424316,0.9891700148582458,0.9995192848145962,0.9999879613169469,0.9999997326303856,1.0000000367922155,1.0000000642428457,1.0000000673879514,1.0000000678347893,1.0000000678558953,1.0000000678574443
Pro Stim,0.3095196485519409,0.591872900724411,0.689853809773922,0.7588611915707588,0.8243531063199043,0.8741250038146973,0.9220067039132118,0.9428885672241449,0.9532861849293113,0.961958303116262,0.970111757516861
Anti Stim,0.2990154027938843,0.5774721503257751,0.6925281882286072,0.7594875171780586,0.8205437175929546,0.8749918080866337,0.922230776399374,0.9436685349792242,0.9539847644045949,0.9624434811994433,0.9705756427720189
Pro Memory,0.44721099734306335,0.864817887544632,0.9232265092432499,0.977668784558773,0.9827303276397288,0.9867647844366729,0.9905140188056976,0.9939047605730593,0.9969983005430549,0.9980209054192528,0.9987661188933998
Anti Memory,0.43680810928344727,0.8391192257404327,0.9095938429236412,0.9726029485464096,0.9792816895060241,0.9847436007112265,0.9895391897298396,0.9941974417306483,0.9970967702101916,0.9979747625766322,0.998752580548171
Pro Response,0.34353771805763245,0.6488349735736847,0.7794502973556519,0.835869811475277,0.8718801699578762,0.906934704631567,0.9382974244654179,0.9645683877170086,0.9768019691109657,0.9825035580433905,0.9874400338158011
Anti Response,0.32934924960136414,0.6374951303005219,0.7743711024522781,0.844732902944088,0.881227895617485,0.915477953851223,0.9444007612764835,0.9682682175189257,0.9776197858154774,0.9836319829337299,0.9888627072796226
